timestamp,site_id,site_type,site_name,consumption_kwh,consumption_euros,temperature_celsius,humidity_percent,solar_irradiance_wm2,hour,day_of_week,day_name,month,is_weekend,is_working_hours
2023-01-01 00:00:00,SITE006,office,Bureau Tertiaire,75.79,11.37,12.0,70.2,,0,6,Sunday,1,1,0
2023-01-01 01:00:00,SITE006,office,Bureau Tertiaire,72.99,10.95,12.8,71.0,,1,6,Sunday,1,1,0
2023-01-01 02:00:00,SITE006,office,Bureau Tertiaire,70.9,10.64,13.4,79.4,,2,6,Sunday,1,1,0
2023-01-01 03:00:00,SITE006,office,Bureau Tertiaire,82.75,12.41,10.3,71.0,,3,6,Sunday,1,1,0
2023-01-01 04:00:00,SITE006,office,Bureau Tertiaire,74.29,11.14,13.4,72.6,0.0,4,6,Sunday,1,1,0
2023-01-01 05:00:00,SITE006,office,Bureau Tertiaire,77.0,11.55,13.7,74.1,67.8,5,6,Sunday,1,1,0
2023-01-01 06:00:00,SITE006,office,Bureau Tertiaire,77.1,11.56,15.7,61.0,34.7,6,6,Sunday,1,1,0
2023-01-01 07:00:00,SITE006,office,Bureau Tertiaire,73.92,11.09,15.3,63.2,177.2,7,6,Sunday,1,1,0
2023-01-01 08:00:00,SITE006,office,Bureau Tertiaire,71.98,10.8,16.5,73.2,411.6,8,6,Sunday,1,1,1
2023-01-01 09:00:00,SITE006,office,Bureau Tertiaire,68.07,10.21,19.9,68.7,567.7,9,6,Sunday,1,1,1
2023-01-01 10:00:00,SITE006,office,Bureau Tertiaire,83.44,12.52,21.4,76.2,738.7,10,6,Sunday,1,1,1
2023-01-01 11:00:00,SITE006,office,Bureau Tertiaire,70.82,10.62,22.0,81.7,843.1,11,6,Sunday,1,1,1
2023-01-01 12:00:00,SITE006,office,Bureau Tertiaire,73.3,11.0,16.5,75.7,941.7,12,6,Sunday,1,1,1
2023-01-01 13:00:00,SITE006,office,Bureau Tertiaire,67.93,10.19,19.6,76.5,911.4,13,6,Sunday,1,1,1
